"Path","Size","LineCount","Category","Preview"
"D:\zenpay-V2\ZenoPay\README.md","59","1","comment-only","# very soon whole project description will be added ????"
"D:\zenpay-V2\ZenoPay\Services\VerifyEmail.js","0","0","empty-whitespace",""
"D:\zenpay-V2\ZenoPay\views\admin\kyc\admin-kyc-details.ejs","66","1","tiny-include-wrapper","<%- include('./admin-kyc-details-body', { details: details }) %>??"
"D:\zenpay-V2\ZenoPay\views\admin\kyc\admin-kyc-management.ejs","91","1","tiny-include-wrapper","<%- include('./admin-kyc-management-body', { stats: stats, submissions: submissions }) %>??"
"D:\zenpay-V2\ZenoPay\views\admin\settings\admin-pricing.ejs","86","1","tiny-include-wrapper","<%- include('./admin-pricing-body', { plans: plans, gst: gst, revenue: revenue }) %>??"
"D:\zenpay-V2\ZenoPay\views\admin\support\admin-support-tickets.ejs","84","1","tiny-include-wrapper","<%- include('./admin-support-tickets-body', { stats: stats, tickets: tickets }) %>??"
"D:\zenpay-V2\ZenoPay\views\blog\newsletter.ejs","42","1","tiny-include-wrapper","<%- include('./newsletter-subscribe') %>??"
"D:\zenpay-V2\ZenoPay\views\blog\show.ejs","31","1","tiny-include-wrapper","<%- include('./blog-post') %>??"
