"Path","Size","LineCount","Category","Preview","Referenced","RefCount","RefPaths"
"D:\zenpay-V2\ZenoPay\README.md","59","1","comment-only","# very soon whole project description will be added ????","False","0",""
"D:\zenpay-V2\ZenoPay\Services\VerifyEmail.js","0","0","empty-whitespace","","True","3","D:\zenpay-V2\ZenoPay\Controllers\EmailVerificationController.js | D:\zenpay-V2\ZenoPay\Routes\authRoutes.js | D:\zenpay-V2\ZenoPay\views\admin\merchants\admin-pending-merchants.ejs"
"D:\zenpay-V2\ZenoPay\views\admin\kyc\admin-kyc-details.ejs","66","1","tiny-include-wrapper","<%- include('./admin-kyc-details-body', { details: details }) %>??","True","1","D:\zenpay-V2\ZenoPay\Admin\Controllers\AdminKYCController.js"
"D:\zenpay-V2\ZenoPay\views\admin\kyc\admin-kyc-management.ejs","91","1","tiny-include-wrapper","<%- include('./admin-kyc-management-body', { stats: stats, submissions: submissions }) %>??","True","1","D:\zenpay-V2\ZenoPay\Admin\Controllers\AdminKYCController.js"
"D:\zenpay-V2\ZenoPay\views\admin\settings\admin-pricing.ejs","86","1","tiny-include-wrapper","<%- include('./admin-pricing-body', { plans: plans, gst: gst, revenue: revenue }) %>??","True","1","D:\zenpay-V2\ZenoPay\Admin\Controllers\AdminOperationsController.js"
"D:\zenpay-V2\ZenoPay\views\admin\support\admin-support-tickets.ejs","84","1","tiny-include-wrapper","<%- include('./admin-support-tickets-body', { stats: stats, tickets: tickets }) %>??","True","1","D:\zenpay-V2\ZenoPay\Admin\Controllers\AdminOperationsController.js"
"D:\zenpay-V2\ZenoPay\views\blog\newsletter.ejs","42","1","tiny-include-wrapper","<%- include('./newsletter-subscribe') %>??","True","18","D:\zenpay-V2\ZenoPay\Controllers\BlogController.js | D:\zenpay-V2\ZenoPay\Controllers\SettingsController.js | D:\zenpay-V2\ZenoPay\Models\NewsletterSubscriber.js | D:\zenpay-V2\ZenoPay\public\js\api-integration.js | D:\zenpay-V2\ZenoPay\public\js\footer.js | D:\zenpay-V2\ZenoPay\Routes\blogRoutes.js | D:\zenpay-V2\ZenoPay\scripts\seed-privacy-policy.js | D:\zenpay-V2\ZenoPay\views\blog\partials\blog-sub-header.ejs"
"D:\zenpay-V2\ZenoPay\views\blog\show.ejs","31","1","tiny-include-wrapper","<%- include('./blog-post') %>??","True","140","D:\zenpay-V2\ZenoPay\Admin\Controllers\AdminAuthController.js | D:\zenpay-V2\ZenoPay\Admin\Controllers\AdminOperationsController.js | D:\zenpay-V2\ZenoPay\Admin\Public\js\privacy-policy-editor.js | D:\zenpay-V2\ZenoPay\Admin\Routes\adminRoutes.js | D:\zenpay-V2\ZenoPay\Controllers\AuthController.js | D:\zenpay-V2\ZenoPay\Controllers\BlogController.js | D:\zenpay-V2\ZenoPay\Controllers\PricingController.js | D:\zenpay-V2\ZenoPay\Controllers\StatementsController.js"
